000000:000:495,467,468,417,371,309,267,236,185,140,100,073,051,031,017,009:938,903,856,795,720,640,549,452,357,270,197,137,087,053,029,016
000001:000:404,352,337,271,229,184,142,108,072,047,030,018,010,005,002,001:814,740,654,556,456,361,274,196,131,083,052,030,016,008,004,002
000010:000:403,350,336,268,226,183,141,107,072,047,030,018,010,005,002,001:809,735,648,550,450,357,271,195,130,083,052,030,016,008,004,002
000100:000:374,388,282,345,251,179,178,104,118,070,038,036,013,016,005,002:812,757,669,592,491,399,331,244,187,123,080,057,031,021,009,005
001000:000:377,379,370,255,236,192,178,144,095,065,046,037,023,012,005,003:825,769,695,608,515,426,354,273,199,135,092,064,037,020,009,006
010000:000:409,385,288,247,254,199,163,109,091,072,043,028,015,011,005,002:819,751,680,603,509,413,328,254,191,126,079,049,030,017,007,003
100000:000:399,290,281,263,219,179,124,106,077,056,033,019,012,005,002,000:787,720,642,556,464,368,289,215,148,099,059,035,019,007,003,000
000002:000:480,457,450,404,342,292,240,209,154,112,077,050,032,016,008,004:947,910,857,785,695,605,503,398,297,209,141,088,051,027,013,006
000011:001:315,271,187,156,100,067,038,021,010,005,002,001,000,000,0,0:607,493,377,264,172,109,061,031,014,006,002,001,000,000,0,0
000020:000:479,457,448,401,338,288,236,205,151,110,076,050,032,016,008,004:944,905,849,775,684,592,492,388,290,205,139,088,051,027,013,006
000101:001:272,265,181,188,137,082,070,037,031,018,008,006,002,002,001,000:612,525,420,335,245,165,118,073,048,028,014,009,004,002,001,000
000110:001:270,264,179,187,137,082,070,037,031,018,008,006,002,002,001,000:607,522,418,334,245,165,118,073,048,028,014,009,004,002,001,000
000200:000:482,353,494,352,267,277,165,215,127,078,078,029,040,013,006,006:897,835,778,689,602,526,413,338,237,169,127,073,051,022,013,008
001001:001:276,268,220,166,120,100,075,055,031,019,012,007,004,002,001,000:625,543,454,365,268,196,143,099,061,035,021,012,006,003,001,001
001010:001:275,266,218,166,119,100,074,055,031,019,012,007,004,002,001,000:622,540,451,363,266,195,142,099,061,035,021,012,006,003,001,001
001100:001:207,361,205,216,113,068,122,059,061,021,008,020,006,006,0,0:632,568,478,413,297,219,183,131,099,051,031,026,013,008,002,002
002000:000:499,328,318,261,265,239,151,115,082,075,050,026,010,008,006,002:844,773,694,616,537,437,337,244,180,132,081,045,022,015,008,002
010001:001:287,235,187,158,142,090,066,049,034,020,010,006,003,002,001,000:631,538,458,372,274,192,141,100,061,033,018,010,005,002,001,000
010010:001:286,234,186,156,141,089,066,048,034,020,010,006,003,002,001,000:627,533,454,368,271,189,139,099,061,033,018,010,005,002,001,000
010100:001:368,280,121,194,128,126,098,025,057,025,020,013,0,006,0,002:643,558,456,411,311,224,173,113,097,053,031,019,008,008,002,002
011000:001:230,102,173,223,202,072,033,062,068,040,008,005,008,006,002,0:598,536,503,442,317,203,168,148,109,055,023,018,015,008,002,0
020000:000:308,349,294,256,164,142,128,084,057,029,025,013,006,002,0,0:760,687,592,491,399,322,231,155,099,063,041,019,008,002,0,0
100001:001:259,209,179,152,114,083,059,041,026,015,007,004,002,001,000,000:596,517,420,330,245,173,121,076,046,025,012,006,002,001,000,000
100010:001:259,208,178,151,113,081,058,040,026,015,007,004,002,001,000,000:591,510,414,324,240,170,119,075,046,025,012,006,002,001,000,000
100100:001:189,226,223,084,201,065,069,068,012,040,008,006,006,0,002,0:586,525,457,335,302,185,150,112,058,051,019,013,008,002,002,0
101000:001:226,208,225,177,117,082,069,066,038,023,010,008,006,002,0,0:606,543,467,366,280,204,160,117,069,042,022,015,008,002,0,0
110000:001:286,210,187,122,129,101,064,042,025,025,013,006,002,0,0,0:605,509,418,342,279,193,133,087,060,041,019,008,002,0,0,0
200000:000:306,271,178,165,130,100,064,036,028,013,006,002,0,0,0,0:635,535,440,351,256,185,116,075,044,019,008,002,0,0,0,0
000003:000:566,494,560,514,484,391,358,332,278,210,156,117,083,051,026,014:992,984,971,943,897,839,757,652,539,419,318,226,144,086,045,023
000012:004:519,434,439,296,277,211,156,098,065,033,017,007,002,001,000,0:919,851,756,637,507,380,267,176,099,051,025,010,003,001,000,0
000021:004:519,434,439,296,277,211,156,098,065,033,017,007,002,001,000,0:919,851,756,637,507,380,267,176,099,051,025,010,003,001,000,0
000030:001:566,493,558,512,479,385,353,324,266,202,151,114,082,051,026,014:991,981,967,936,885,823,740,630,516,400,304,218,142,085,045,023
000102:004:385,413,300,366,256,180,174,097,102,059,028,024,008,009,002,001:886,829,725,632,501,396,317,221,160,097,055,036,017,011,004,002
000111:031:206,151,102,045,023,010,002,001,000,0,0,0,0,0,0,0:375,259,146,067,032,012,003,001,000,0,0,0,0,0,0,0
